pdf_id,inventory_id,document_id,item_id,bundle_id,bitstream_id,title,document_type,ministry_id,ministry_name,department_id,department_name,jurisdiction,year,date,source_url,download_url,local_path,file_name,file_size,page_count,sha256,retrieved_at,status
3bd35760-0b29-437f-812c-cd2c544a9b85,22d18fff-bc9c-4b12-8050-8a0ea992c164,22d18fff-bc9c-4b12-8050-8a0ea992c164,22d18fff-bc9c-4b12-8050-8a0ea992c164,3f4328a3-12f3-4e2a-af17-d8ef49b24d89,8088e3fe-da04-4a85-b46b-d68ff3b6d2dd,"U.P. Industrial Housing Act, 1955",pdf,88,NO MINISTRY,477,Labour,STATE,,,https://indiacode.gov.in/server/api/core/bitstreams/8088e3fe-da04-4a85-b46b-d68ff3b6d2dd,https://indiacode.gov.in/server/api/core/bitstreams/8088e3fe-da04-4a85-b46b-d68ff3b6d2dd/content,,english_23_of_1955.pdf,106899,,,2026-08-19 20:43:54.508234,DOWNLOADING
dd0b1f7a-25f4-4954-808b-dae7cf62bf40,22d18fff-bc9c-4b12-8050-8a0ea992c164,22d18fff-bc9c-4b12-8050-8a0ea992c164,22d18fff-bc9c-4b12-8050-8a0ea992c164,3f4328a3-12f3-4e2a-af17-d8ef49b24d89,d35a74bf-bfaa-44b5-a0ab-5f232291c5e8,"U.P. Industrial Housing Act, 1955",pdf,88,NO MINISTRY,477,Labour,STATE,,,https://indiacode.gov.in/server/api/core/bitstreams/d35a74bf-bfaa-44b5-a0ab-5f232291c5e8,https://indiacode.gov.in/server/api/core/bitstreams/d35a74bf-bfaa-44b5-a0ab-5f232291c5e8/content,D:/india_code_data/raw/india_code\pdf\central\unknown\22d18fff-bc9c-4b12-8050-8a0ea992c164\d35a74bf-bfaa-44b5-a0ab-5f232291c5e8\original.pdf,hindi_23_of_1955.pdf,536007,7,a99e27eb5d95b05deff79fe14a380bd1eba9bd578ede134d030bb06abe5ffe7e,2026-08-19 20:43:54.508234,VALIDATED
1955ae84-e20e-4998-90d9-32bb91d8d2c2,22d18fff-bc9c-4b12-8050-8a0ea992c164,22d18fff-bc9c-4b12-8050-8a0ea992c164,22d18fff-bc9c-4b12-8050-8a0ea992c164,44ad76fb-9f39-426d-9ba8-be46ad09b9f8,cd7591a6-1e79-4c69-9363-b790af17294a,"U.P. Industrial Housing Act, 1955",pdf,88,NO MINISTRY,477,Labour,STATE,,,https://indiacode.gov.in/server/api/core/bitstreams/cd7591a6-1e79-4c69-9363-b790af17294a,https://indiacode.gov.in/server/api/core/bitstreams/cd7591a6-1e79-4c69-9363-b790af17294a/content,,english_23_of_1955.pdf.txt,16230,,,2026-08-19 20:43:54.508234,IGNORED_NON_PDF
1d2c1437-351c-4741-8c13-570980e29706,22d18fff-bc9c-4b12-8050-8a0ea992c164,22d18fff-bc9c-4b12-8050-8a0ea992c164,22d18fff-bc9c-4b12-8050-8a0ea992c164,44ad76fb-9f39-426d-9ba8-be46ad09b9f8,0e7bb1fd-e6ec-4c65-90c0-f6865c2eb4ca,"U.P. Industrial Housing Act, 1955",pdf,88,NO MINISTRY,477,Labour,STATE,,,https://indiacode.gov.in/server/api/core/bitstreams/0e7bb1fd-e6ec-4c65-90c0-f6865c2eb4ca,https://indiacode.gov.in/server/api/core/bitstreams/0e7bb1fd-e6ec-4c65-90c0-f6865c2eb4ca/content,,hindi_23_of_1955.pdf.txt,16323,,,2026-08-19 20:43:54.508234,IGNORED_NON_PDF
4858b7cb-4d9c-4f64-aae3-7ac18fb053fe,22d18fff-bc9c-4b12-8050-8a0ea992c164,22d18fff-bc9c-4b12-8050-8a0ea992c164,22d18fff-bc9c-4b12-8050-8a0ea992c164,00a63619-3fc9-4d91-aba8-d0eeba988f2c,be4ec9ad-cf92-4adc-90a3-7d1f29de60ee,"U.P. Industrial Housing Act, 1955",pdf,88,NO MINISTRY,477,Labour,STATE,,,https://indiacode.gov.in/server/api/core/bitstreams/be4ec9ad-cf92-4adc-90a3-7d1f29de60ee,https://indiacode.gov.in/server/api/core/bitstreams/be4ec9ad-cf92-4adc-90a3-7d1f29de60ee/content,,english_23_of_1955.pdf.jpg,9033,,,2026-08-19 20:43:54.508234,IGNORED_NON_PDF
0f9c3379-a43c-495c-ab1f-861b8749d53b,22d18fff-bc9c-4b12-8050-8a0ea992c164,22d18fff-bc9c-4b12-8050-8a0ea992c164,22d18fff-bc9c-4b12-8050-8a0ea992c164,00a63619-3fc9-4d91-aba8-d0eeba988f2c,07153861-cb2a-4769-9405-52a5179a019a,"U.P. Industrial Housing Act, 1955",pdf,88,NO MINISTRY,477,Labour,STATE,,,https://indiacode.gov.in/server/api/core/bitstreams/07153861-cb2a-4769-9405-52a5179a019a,https://indiacode.gov.in/server/api/core/bitstreams/07153861-cb2a-4769-9405-52a5179a019a/content,,hindi_23_of_1955.pdf.jpg,4312,,,2026-08-19 20:43:54.508234,IGNORED_NON_PDF
0d6ba3ac-b77b-4f5d-9475-a4f2a637fd04,22d2a6e0-7234-4cd2-b9f8-e86d6b1b7af9,22d2a6e0-7234-4cd2-b9f8-e86d6b1b7af9,22d2a6e0-7234-4cd2-b9f8-e86d6b1b7af9,421f6f66-b513-4ea7-8cf8-81d12cea7066,f38fd9b9-2d8d-4a67-97ca-9dad23c9705b,"No, 13/64/17-5hg2/1880",pdf,82,NO MINISTRY,932,Department of Industries and Commerce,STATE,,,https://indiacode.gov.in/server/api/core/bitstreams/f38fd9b9-2d8d-4a67-97ca-9dad23c9705b,https://indiacode.gov.in/server/api/core/bitstreams/f38fd9b9-2d8d-4a67-97ca-9dad23c9705b/content,D:/india_code_data/raw/india_code\pdf\central\unknown\22d2a6e0-7234-4cd2-b9f8-e86d6b1b7af9\f38fd9b9-2d8d-4a67-97ca-9dad23c9705b\original.pdf,19._notification_policy_housing_1880_compressed.pdf,1785256,1,7cdd3e279545a8a7a6bb182b5a111a80fc1b2a00a600a4204b73cc2168856573,2026-08-19 20:44:17.736275,VALIDATED
ca5849c5-9a63-449a-8fe2-b956c352dd83,22d2a6e0-7234-4cd2-b9f8-e86d6b1b7af9,22d2a6e0-7234-4cd2-b9f8-e86d6b1b7af9,22d2a6e0-7234-4cd2-b9f8-e86d6b1b7af9,0bcc2301-a68d-46fb-9049-d806abbf0123,989a3caf-e9bb-4352-8f50-e22ff400013e,"No, 13/64/17-5hg2/1880",pdf,82,NO MINISTRY,932,Department of Industries and Commerce,STATE,,,https://indiacode.gov.in/server/api/core/bitstreams/989a3caf-e9bb-4352-8f50-e22ff400013e,https://indiacode.gov.in/server/api/core/bitstreams/989a3caf-e9bb-4352-8f50-e22ff400013e/content,,19._notification_policy_housing_1880_compressed.pdf.txt,1576,,,2026-08-19 20:44:17.736275,IGNORED_NON_PDF
ecbc9d3e-87bb-4d6d-b3f4-f0bf403d41d0,22d2a6e0-7234-4cd2-b9f8-e86d6b1b7af9,22d2a6e0-7234-4cd2-b9f8-e86d6b1b7af9,22d2a6e0-7234-4cd2-b9f8-e86d6b1b7af9,365f949f-e12c-40ae-8a98-18db06622bd8,1e47fb75-6b17-4008-9fbb-beb9231abd6f,"No, 13/64/17-5hg2/1880",pdf,82,NO MINISTRY,932,Department of Industries and Commerce,STATE,,,https://indiacode.gov.in/server/api/core/bitstreams/1e47fb75-6b17-4008-9fbb-beb9231abd6f,https://indiacode.gov.in/server/api/core/bitstreams/1e47fb75-6b17-4008-9fbb-beb9231abd6f/content,,19._notification_policy_housing_1880_compressed.pdf.jpg,8862,,,2026-08-19 20:44:17.736275,IGNORED_NON_PDF
96588c8f-b68b-45d4-8124-586bff06c49b,22d3d9f6-31b4-4b2e-be94-2850dfce28d5,22d3d9f6-31b4-4b2e-be94-2850dfce28d5,22d3d9f6-31b4-4b2e-be94-2850dfce28d5,5f52c2c3-bac3-4c6e-b068-822d7f1b05ad,bbf0d4e6-6832-4c1e-bfaa-5b2f0ff2b4b6,"The Telangana Prohibition Act, 1995.",pdf,86,NO MINISTRY,767,Revenue,STATE,,,https://indiacode.gov.in/server/api/core/bitstreams/bbf0d4e6-6832-4c1e-bfaa-5b2f0ff2b4b6,https://indiacode.gov.in/server/api/core/bitstreams/bbf0d4e6-6832-4c1e-bfaa-5b2f0ff2b4b6/content,D:/india_code_data/raw/india_code\pdf\central\unknown\22d3d9f6-31b4-4b2e-be94-2850dfce28d5\bbf0d4e6-6832-4c1e-bfaa-5b2f0ff2b4b6\original.pdf,act_17_of_1995.pdf,216368,25,18aef7d7f63b9033e0dffc8a9e20c3da18429557d4a98926b70dd067f10de18d,2026-08-19 20:44:33.803102,VALIDATED
