ministry_id,ministry_name,department_id,department_name,jurisdiction,document_count,pdf_count
166,Govt of Maharashtra,1512,Environment Department,STATE,35,0
88,NO MINISTRY,477,Labour,STATE,307,18
11,Ministry of Commerce and Industry,12,Department of Commerce,CENTRAL,520,3
83,NO MINISTRY,1113,Finance Department,STATE,335,0
88,NO MINISTRY,464,"Environment,Forest & Climate Change",STATE,120,0
82,NO MINISTRY,932,Department of Industries and Commerce,STATE,40,3
11,Ministry of Commerce and Industry,61,Department of Promotion of Industry and Internal Trade,CENTRAL,541,0
86,NO MINISTRY,767,Revenue,STATE,305,3
58,NO MINISTRY,532,Finance (Taxation) Department,STATE,99,6
123,Meghalaya Law Department,384,Law Department,STATE,1896,0
82,NO MINISTRY,956,Department of Housing and Urban Development,STATE,10,3
3,Ministry of Law and Justice,3,Department of Justice,CENTRAL,489,0
60,NO MINISTRY,1033,Police Department,UNION_TERRITORY,79,0
70,NO MINISTRY,725,"Home, Prison and Disaster Management Department, Government of Jharkhand",STATE,8,3
2,Ministry of Finance,2,Department of Revenue,CENTRAL,3453,6
2,Ministry of Finance,11,Department of Economic Affairs,CENTRAL,639,6
69,NO MINISTRY,628,Higher Education,UNION_TERRITORY,212,0
89,NO MINISTRY,390,DEPARTMENT OF EDUCATION,STATE,55,0
58,NO MINISTRY,549,Parliamentary Affairs Department,STATE,24,3
83,NO MINISTRY,1109,Animal Husbandry Department,STATE,116,0
71,NO MINISTRY,581,Education Department,STATE,157,9
86,NO MINISTRY,751,"Health, Medical and Family Welfare",STATE,119,0
83,NO MINISTRY,1088,Agriculture Department,STATE,213,0
88,NO MINISTRY,504,Small Scale Industries & Export Promotion,STATE,35,0
5,Ministry of Home Affairs,5,Department of States,CENTRAL,3435,3
131,No Ministry,674,Sikkim Legislative Assembly,STATE,8,3
83,NO MINISTRY,1097,Higher Education Department,STATE,48,6
64,NO MINISTRY,854,Department of Trade & Taxes,UNION_TERRITORY,1080,6
166,Govt of Maharashtra,1464,"Co-operation, Marketing and Textiles Department",STATE,320,0
3,Ministry of Law and Justice,46,Department of Legal Affairs,CENTRAL,350,0
88,NO MINISTRY,448,State tax,STATE,848,24
69,NO MINISTRY,637,Housing and Urban Development,UNION_TERRITORY,671,0
88,NO MINISTRY,509,Transport,STATE,98,0
83,NO MINISTRY,1125,Local Self Government,STATE,816,3
5,Ministry of Home Affairs,23,Department of Internal Security,CENTRAL,1812,6
89,NO MINISTRY,740,DEPARTMENT OF AGRICULTURE AND FARMER WELFARE,STATE,95,0
166,Govt of Maharashtra,857,Home Department,STATE,726,0
28,Ministry of Defence,1408,Department of Military Affairs,CENTRAL,485,3
