department_id,department_name,ministry_id,ministry_name,jurisdiction,document_count,pdf_count,validated_pdf_count,failed_pdf_count,unavailable_pdf_count,last_updated
1512,Environment Department,166,Govt of Maharashtra,STATE,35,0,0,0,0,2026-08-19 21:27:46.393316
477,Labour,88,NO MINISTRY,STATE,307,18,5,0,0,2026-08-19 21:27:46.332164
12,Department of Commerce,11,Ministry of Commerce and Industry,CENTRAL,520,3,1,0,0,2026-08-19 21:27:46.332733
1113,Finance Department,83,NO MINISTRY,STATE,335,0,0,0,0,2026-08-19 21:27:46.300669
464,"Environment,Forest & Climate Change",88,NO MINISTRY,STATE,120,0,0,0,0,2026-08-19 21:27:46.044694
932,Department of Industries and Commerce,82,NO MINISTRY,STATE,40,3,1,0,0,2026-08-19 21:27:46.102722
61,Department of Promotion of Industry and Internal Trade,11,Ministry of Commerce and Industry,CENTRAL,541,0,0,0,0,2026-08-19 21:27:46.414938
767,Revenue,86,NO MINISTRY,STATE,305,3,1,0,0,2026-08-19 21:27:46.415575
532,Finance (Taxation) Department,58,NO MINISTRY,STATE,99,6,2,0,0,2026-08-19 21:27:45.624946
384,Law Department,123,Meghalaya Law Department,STATE,1896,0,0,0,0,2026-08-19 21:27:46.416797
956,Department of Housing and Urban Development,82,NO MINISTRY,STATE,10,3,0,1,0,2026-08-19 21:27:46.129619
3,Department of Justice,3,Ministry of Law and Justice,CENTRAL,489,0,0,0,0,2026-08-19 21:27:46.395244
1033,Police Department,60,NO MINISTRY,UNION_TERRITORY,79,0,0,0,0,2026-08-19 21:27:46.101717
725,"Home, Prison and Disaster Management Department, Government of Jharkhand",70,NO MINISTRY,STATE,8,3,1,0,0,2026-08-19 21:27:38.593836
2,Department of Revenue,2,Ministry of Finance,CENTRAL,3453,6,2,0,0,2026-08-19 21:27:46.416153
11,Department of Economic Affairs,2,Ministry of Finance,CENTRAL,639,6,2,0,0,2026-08-19 21:27:46.414938
628,Higher Education,69,NO MINISTRY,UNION_TERRITORY,212,0,0,0,0,2026-08-19 21:27:46.416153
390,DEPARTMENT OF EDUCATION,89,NO MINISTRY,STATE,55,0,0,0,0,2026-08-19 21:27:45.738695
549,Parliamentary Affairs Department,58,NO MINISTRY,STATE,24,3,1,0,0,2026-08-19 21:27:41.182045
1109,Animal Husbandry Department,83,NO MINISTRY,STATE,116,0,0,0,0,2026-08-19 21:27:46.302676
581,Education Department,71,NO MINISTRY,STATE,157,9,3,0,0,2026-08-19 21:27:46.222819
751,"Health, Medical and Family Welfare",86,NO MINISTRY,STATE,119,0,0,0,0,2026-08-19 21:27:46.287274
1088,Agriculture Department,83,NO MINISTRY,STATE,213,0,0,0,0,2026-08-19 21:27:46.414938
504,Small Scale Industries & Export Promotion,88,NO MINISTRY,STATE,35,0,0,0,0,2026-08-19 21:27:46.043702
5,Department of States,5,Ministry of Home Affairs,CENTRAL,3435,3,1,0,0,2026-08-19 21:27:46.416153
674,Sikkim Legislative Assembly,131,No Ministry,STATE,8,3,1,0,0,2026-08-19 21:27:38.831215
1097,Higher Education Department,83,NO MINISTRY,STATE,48,6,1,1,0,2026-08-19 21:27:45.563114
854,Department of Trade & Taxes,64,NO MINISTRY,UNION_TERRITORY,1080,6,2,0,0,2026-08-19 21:27:46.395903
1464,"Co-operation, Marketing and Textiles Department",166,Govt of Maharashtra,STATE,320,0,0,0,0,2026-08-19 21:27:46.395903
46,Department of Legal Affairs,3,Ministry of Law and Justice,CENTRAL,350,0,0,0,0,2026-08-19 21:27:46.329324
448,State tax,88,NO MINISTRY,STATE,848,24,8,0,0,2026-08-19 21:27:46.416797
637,Housing and Urban Development,69,NO MINISTRY,UNION_TERRITORY,671,0,0,0,0,2026-08-19 21:27:46.415575
509,Transport,88,NO MINISTRY,STATE,98,0,0,0,0,2026-08-19 21:27:46.301673
1125,Local Self Government,83,NO MINISTRY,STATE,816,3,0,1,0,2026-08-19 21:27:46.415575
23,Department of Internal Security,5,Ministry of Home Affairs,CENTRAL,1812,6,2,0,0,2026-08-19 21:27:46.416153
740,DEPARTMENT OF AGRICULTURE AND FARMER WELFARE,89,NO MINISTRY,STATE,95,0,0,0,0,2026-08-19 21:27:46.272169
857,Home Department,166,Govt of Maharashtra,STATE,726,0,0,0,0,2026-08-19 21:27:46.414298
