ministry_id,ministry_name,jurisdiction,department_count,document_count,pdf_count,validated_pdf_count,failed_pdf_count,unavailable_pdf_count,last_updated
30,Ministry of Road Transport and Highways,CENTRAL,0,761,3,1,0,0,2026-08-19 21:27:46.393316
166,Govt of Maharashtra,STATE,30,8519,36,12,0,0,2026-08-19 21:27:46.416797
88,NO MINISTRY,STATE,69,7297,72,22,1,0,2026-08-19 21:27:46.416797
11,Ministry of Commerce and Industry,CENTRAL,2,1061,3,1,0,0,2026-08-19 21:27:46.414938
83,NO MINISTRY,STATE,50,5229,18,4,2,0,2026-08-19 21:27:46.416797
82,NO MINISTRY,STATE,55,906,15,4,1,0,2026-08-19 21:27:46.415575
86,NO MINISTRY,STATE,26,1120,6,2,0,0,2026-08-19 21:27:46.415575
22,Ministry of Corporate Affairs,CENTRAL,0,1575,3,1,0,0,2026-08-19 21:27:46.395903
58,NO MINISTRY,STATE,50,701,9,3,0,0,2026-08-19 21:27:46.416153
123,Meghalaya Law Department,STATE,1,1896,0,0,0,0,2026-08-19 21:27:46.416797
3,Ministry of Law and Justice,CENTRAL,3,3064,3,1,0,0,2026-08-19 21:27:46.416797
60,NO MINISTRY,UNION_TERRITORY,46,693,3,1,0,0,2026-08-19 21:27:46.415575
70,NO MINISTRY,STATE,29,1085,3,1,0,0,2026-08-19 21:27:46.416153
2,Ministry of Finance,CENTRAL,5,5780,18,5,1,0,2026-08-19 21:27:46.416153
200,Ministry of Cooperation,CENTRAL,0,173,0,0,0,0,2026-08-19 21:27:46.184984
69,NO MINISTRY,UNION_TERRITORY,26,2813,0,0,0,0,2026-08-19 21:27:46.416153
89,NO MINISTRY,STATE,47,555,0,0,0,0,2026-08-19 21:27:46.393973
71,NO MINISTRY,STATE,27,817,12,4,0,0,2026-08-19 21:27:46.394585
5,Ministry of Home Affairs,CENTRAL,7,5745,12,4,0,0,2026-08-19 21:27:46.416153
131,No Ministry,STATE,22,80,3,1,0,0,2026-08-19 21:27:42.801954
64,NO MINISTRY,UNION_TERRITORY,35,1396,9,3,0,0,2026-08-19 21:27:46.395903
16,"Ministry of Environment, Forest and Climate Change",CENTRAL,0,1345,9,1,2,0,2026-08-19 21:27:46.415575
28,Ministry of Defence,CENTRAL,2,888,3,1,0,0,2026-08-19 21:27:46.416153
67,NO MINISTRY,STATE,64,1355,36,11,1,0,2026-08-19 21:27:46.414298
59,NO MINISTRY,STATE,32,771,9,3,0,0,2026-08-19 21:27:46.415575
13,Ministry of Women and Child Development,CENTRAL,0,319,0,0,0,0,2026-08-19 21:27:46.414938
40,Ministry of Statistics and Programme Implementation,CENTRAL,0,49,0,0,0,0,2026-08-19 21:27:46.102722
26,"Ministry of Personnel, Public Grievances and Pensions",CENTRAL,2,325,3,1,0,0,2026-08-19 21:27:46.414298
34,Ministry of Youth Affairs and Sports,CENTRAL,2,130,0,0,0,0,2026-08-19 21:27:46.392662
